"用例ID","模块","用例名称","前置条件","测试步骤","预期结果","备注","自动化脚本","关联需求","是否自动化"
"TC-067","SOS Request","From/To 常规城市和机场代码搜索","准备 Washington、New York、Beijing、Los Angeles、KTEB、ZBAA 等常规城市/机场代码","1. 在 From 输入城市并选择候选 2. 在 To 输入机场代码并选择候选 3. 清空后换城市/机场组合复测","可返回并选择正确候选；District of Columbia 特殊城市已确认忽略，不作为回归断言","纳入官网 SOS 常规回归；来源 REG-SOS-004","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-068","SOS Request","单程 Request SOS 进入结果页","Washington -> New York，日期默认当天","1. 填写 From/To 2. 保持单程和默认日期 3. 点击 Request SOS 4. 监听 searchList 请求","进入预估结果区；searchList 成功；tripType=1、pax=2、日期正确","纳入官网 SOS 常规回归；来源 REG-SOS-005","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-069","SOS / 结果页","Search Bar 回填与重新搜索","已进入 SOS 结果页","1. 检查 From/To/Date/Passengers 回填 2. 修改目的地 3. 点击重新搜索 4. 监听 searchList 请求","UI 回填正确，重搜会重新请求 searchList，结果区域同步刷新","纳入官网 SOS 常规回归；来源 REG-SOS-006","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-070","SOS / 结果页","结果页基础控件展示","Washington -> New York 搜索成功","1. 完成搜索 2. 检查 Back To Map 3. 检查 Distance、Price、Filter 控件 4. 检查结果列表","Back To Map、Distance、Price、Filter、结果列表均展示且可操作入口存在","纳入官网 SOS 常规回归；来源 REG-SOS-007","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-071","SOS / 结果卡片","推荐卡片字段展示","Washington -> New York 搜索有结果","1. 检查前几条结果卡片 2. 读取推荐标签、航程标签、飞行时间、距离、价格 3. 检查 Aircraft Image 和 Select this flight","Most Recommended、Direct/Tech-stop、Flight Time、距离、价格、Aircraft Image、Select this flight 按需求展示","纳入官网 SOS 常规回归；来源 REG-SOS-008","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-072","SOS / 结果卡片","Aircraft Image 图片层可打开","搜索结果中存在 Aircraft Image 入口","1. 点击结果卡片 Aircraft Image 2. 检查图片层或图片入口 3. 关闭或返回结果页","图片层或图片入口可打开，不阻塞页面后续操作","纳入官网 SOS 常规回归；来源 REG-SOS-009","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-073","SOS / 报价弹窗","Select this flight 打开报价弹窗","搜索结果中存在可选飞机卡片","1. 点击第一条 Select this flight 2. 检查弹窗标题 3. 检查行程、推荐飞机、联系人表单","打开 Request Medical Evacuation Support 弹窗，行程、推荐飞机、联系人表单展示完整","纳入官网 SOS 常规回归；来源 REG-SOS-010","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-074","SOS / CRM","dev/uat 最终提交成功","仅 dev/uat 环境；使用测试邮箱和测试手机号","1. 打开报价弹窗 2. 填写联系人 3. 勾选 consent 4. 点击 Submit 5. 监听 lead/submitInquiryClueV2","接口返回 success=true，跳转 /thankyou，sourceChannel=web_medevac；生产环境不执行最终提交","纳入官网 SOS 常规回归；来源 REG-SOS-011","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-075","SOS / 推荐逻辑","推荐结果数不超过 30 条","准备 Washington-New York、Beijing-Los Angeles、Singapore-Sydney 等多路线 API 数据","1. 调用 web/sos/search/searchList 2. 统计返回结果数 3. 多路线重复校验","每次返回结果数 <=30","固定自动化；来源 REG-SOS-012","tests/test_sos_recommendation_api.py::test_sos_search_result_count_is_limited_to_30","【官网V4.1.0】SOS / 官网SOS回归用例.md","是"
"TC-076","SOS / 推荐逻辑","默认 Distance 排序升序","orderType=0，多路线 API 数据可用","1. 调用 searchList 2. 提取结果距离字段 3. 校验排序","距离按升序排列","固定自动化；来源 REG-SOS-013","tests/test_sos_recommendation_api.py::test_sos_default_distance_sort_is_ascending","【官网V4.1.0】SOS / 官网SOS回归用例.md","是"
"TC-077","SOS / 推荐逻辑","Price 排序有效价格升序且无价格排最后","Beijing -> Los Angeles，orderType=1","1. 点击 Price 或直接请求 orderType=1 2. 提取价格字段 3. 将无价格数据单独识别 4. 校验有效价格排序和无价格位置","有效价格从低到高；价格为空或 0 表示无价格时排在最后","固定自动化；来源 REG-SOS-014","tests/test_sos_recommendation_api.py::test_sos_price_sort_uses_valid_price_ascending_and_empty_price_last","【官网V4.1.0】SOS / 官网SOS回归用例.md","是"
"TC-078","SOS / 推荐逻辑","Flight Time 排序升序","orderType=2 API 数据可用","1. 调用 searchList 2. 提取 flight time 字段 3. 校验排序","飞行时间升序排列","固定自动化；来源 REG-SOS-015","tests/test_sos_recommendation_api.py::test_sos_flight_time_sort_is_ascending","【官网V4.1.0】SOS / 官网SOS回归用例.md","是"
"TC-079","SOS / 推荐逻辑","Direct/Tech-stop 标签和经停过滤","长短途混合路线 API 数据可用","1. 调用 searchList 2. 检查 stop 值 3. 对照卡片标签 4. 检查是否出现 stop>1","stop=0 展示 Direct，stop=1 展示 Tech-stop，不出现 stop>1","固定自动化；来源 REG-SOS-016","tests/test_sos_recommendation_api.py::test_sos_stop_values_are_limited_to_direct_or_tech_stop","【官网V4.1.0】SOS / 官网SOS回归用例.md","是"
"TC-080","SOS / 往返","Round Trip API smoke","Washington -> New York，returnTime 次日","1. 使用 tripType=2 请求 searchList 2. 检查接口状态 3. 统计结果数 4. 校验默认距离排序","接口成功，结果数 <=30，距离排序通过","固定自动化；来源 REG-SOS-017","tests/test_sos_recommendation_api.py::test_sos_round_trip_search_smoke","【官网V4.1.0】SOS / 官网SOS回归用例.md","是"
"TC-081","SOS Nearby","Nearby 列表和 tabs 展示","默认定位或 IP fallback 可返回附近飞机数据","1. 打开 SOS 页面 2. 检查 All/Parked/Scheduled/In Flight tabs 3. 检查列表卡片和分页","tabs 可见，All 默认可用，列表有分页或卡片","纳入官网 SOS 常规回归；来源 REG-SOS-018","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-082","SOS Nearby","Nearby 距离单位规则","准备 en-us Washington、en-ca Toronto、en-sg Singapore 场景","1. 调用 nearbyAircraft 或页面检查 2. 分别校验北美和非北美距离单位","北美为 mi，非北美为 km","固定自动化；来源 REG-SOS-019","tests/test_sos_recommendation_api.py::test_sos_nearby_distance_unit_follows_locale","【官网V4.1.0】SOS / 官网SOS回归用例.md","是"
"TC-083","SOS Nearby","Nearby 卡片字段和详情展示","Nearby 列表有数据","1. 检查第一条 Nearby 卡片字段 2. 点击卡片 3. 检查详情面板和 Recent flights","显示机型、状态、机场/位置、距离、Category、Range、Recent flights","纳入官网 SOS 常规回归；来源 REG-SOS-020","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-084","SOS / 定位权限","定位被阻止时展示提示","浏览器定位权限被阻止或 headless blocked 权限","1. 打开 SOS 页面并阻止定位 2. 检查定位提示区域 3. 检查 Try again 入口","显示 Location access is blocked... 和 Try again；不阻塞页面其它功能","纳入官网 SOS 常规回归；来源 REG-SOS-021","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-085","SOS / 移动端","移动端 SOS 入口 smoke","移动端视口 390x844，/en-us/sos 可访问","1. 打开 /en-us/sos 2. 检查 SOS Request 折叠入口 3. 检查地图区域 4. 检查 Nearby 卡片","SOS Request 折叠入口、地图、Nearby 卡片可见，页面无明显遮挡","纳入官网 SOS 常规回归；来源 REG-SOS-022","待自动化","【官网V4.1.0】SOS / 官网SOS回归用例.md","否"
"TC-086","SEO Meta","Global 页面 Meta 与最新 SEO 表一致","已提供最新 Global翻译.xlsx，目标环境可访问","1. 读取 Global Metadata (edited) sheet 2. 打开表中可访问 Global 页面 3. 抽取 title/description 4. 校验占位符替换和精确文案","可访问页面 title/description 与最新 SEO 表一致；已下线 URL 不纳入正向页面比对","V4.1.1 新增常规回归；外部表随版本变化，先不纳入固定自动化矩阵","待自动化","【官网V4.1.1】全站替换品牌词、X-default{area}相关翻译和Meta区分处理","否"
"TC-087","Policy Cookie","Policy 和 Cookie 页面品牌词与 canonical 校验","dev/uat 环境可访问 policy/cookie 多语言页面","1. 分别访问 /article/policy、/article/cookie 及 en-us/zh-cn/zh-hk/zh-tw 版本 2. 检查正文品牌词 3. 检查 canonical/x-default 规则","正文不残留未确认旧品牌词；默认页 canonical 不暴露错误 /global；locale 页面规则符合需求","V4.1.1 新增常规回归；已沉淀 HTTP/DOM 自动化","tests/test_v411_requirements_regression.py::test_v411_policy_cookie_brand_and_canonical","【官网V4.1.1】全站替换品牌词、X-default{area}相关翻译和Meta区分处理","是"
"TC-088","Empty Leg 页面","Empty Leg 页面 Hero 与多语言模块展示","desktop 和 mobile 视口；/empty-leg、/en-us/empty-leg、/zh-cn/empty-leg、/zh-hk/empty-leg、/zh-tw/empty-leg 可访问","1. 打开各 locale Empty Leg 页面 2. 检查 Hero 背景、H1、描述、搜索组件、信任标签 3. 检查页面是否出现 emptyLeg.* key 或明显混语","各 locale 展示可读文案，首屏模块完整，未出现翻译 key，桌面和移动端无明显遮挡","V4.1.1 新增常规回归；已沉淀多语言核心模块自动化","tests/test_v411_requirements_regression.py::test_v411_empty_leg_locale_core_sections","【官网V4.1.1】Empty Leg页面优化及Empty Leg Recommendation模块下线处理","是"
"TC-089","Empty Leg 页面","Popular Empty Leg Routes 按 locale 展示","热门航线接口可访问；最新 Empty Leg Page xlsx 已确认口径","1. 分别请求或打开支持的 locale 2. 检查模块 H2、描述、卡片数量、卡片描述、sort 顺序 3. 验证 global/x-default 无数据时模块隐藏 4. 验证卡片静态不可点击","有数据 locale 按最终口径展示热门航线；无数据 locale 隐藏模块；卡片不可点击；排序符合 sort","V4.1.1 新增常规回归；路线标题英文城市名展示需产品确认后再纳入强断言","待自动化","【官网V4.1.1】Empty Leg页面优化及Empty Leg Recommendation模块下线处理 / Popular Empty Leg Routes","否"
"TC-090","Empty Leg 页面","Live Empty Leg Deals 区域 tab 与排序基础校验","/empty-leg 页面有列表数据；区域 tab 可见","1. 打开 Empty Leg 页面 2. 切换区域 tab 3. 检查列表刷新和卡片字段 4. 切换价格排序 5. 检查空价排最后口径","tab 可切换并刷新数据；列表卡片字段完整；价格排序符合当前产品口径，空价排最后","V4.1.1 新增常规回归；跨币种排序如口径变化需产品确认","待自动化","【官网V4.1.1】Empty Leg页面优化及Empty Leg Recommendation模块下线处理","否"
"TC-091","Empty Leg 订阅","Empty Leg 邮件订阅 UI 与 dev 提交","dev/uat 环境；使用测试邮箱；城市搜索接口可用","1. 打开 Empty Leg 页面 2. 填写 From/To/邮箱 3. 点击 Get Alerts 4. 检查请求和页面反馈 5. 移动端检查默认折叠和展开","订阅 UI 可用；dev/uat 提交成功并展示正确反馈；移动端折叠/展开正常","V4.1.1 新增常规回归；T3 周期邮件不在本用例闭环","待自动化","【官网V4.1.1】Empty Leg页面优化及Empty Leg Recommendation模块下线处理 / 邮件订阅 UI","否"
"TC-092","Empty Leg 页面","What Are / Booking Steps / 内链 CTA 展示与跳转","/empty-leg 多语言页面可访问","1. 打开 Empty Leg 页面 2. 检查 What Are 模块和 See More 3. 检查 Booking Steps 及右侧可视化说明 4. 点击 3 个内链 CTA 并校验目标页面","模块展示完整，See More 可用，流程文案国际化生效，内链跳转正确","V4.1.1 新增常规回归；已沉淀底部模块与英文内链 CTA 自动化","tests/test_v411_requirements_regression.py::test_v411_empty_leg_bottom_sections; tests/test_v411_requirements_regression.py::test_v411_empty_leg_global_internal_ctas","【官网V4.1.1】Empty Leg页面优化及Empty Leg Recommendation模块下线处理","是"
"TC-093","Membership / 路由与 SEO","会员权益页面多语言路由和 Meta","dev/uat 环境；/memberships、/en-us/memberships、/zh-cn/memberships 可访问","1. 打开各 locale Membership 页面 2. 检查 HTTP 状态与最终 URL 3. 抽取 title、description、keywords 4. 对照当前需求口径","各页面可访问且 Meta 与当前需求一致，无错误跳转或翻译 key","V4.1.2 新增常规回归；来源 V412-TC-001","待自动化","【官网V4.1.2】会员权益 / V412-REQ-001,004,005,006","否"
"TC-094","Membership / 菜单","顶部、移动端和 Footer 的 Programs & Platform 入口","桌面与移动端视口；首页可访问","1. 展开桌面 Programs & Platform 2. 检查 Membership、Travel Credit 与 New 标签 3. 展开移动端菜单复查 4. 滚动 Footer 复查入口","三处菜单项、顺序、保留/移除项及 New 标签符合当前产品口径，链接可访问","V4.1.2 新增常规回归；来源 V412-TC-002","待自动化","【官网V4.1.2】会员权益 / V412-REQ-002,003,008","否"
"TC-095","Membership / 页面框架","Membership 页面仅使用 Top Bar","桌面视口；Membership 页面可访问","1. 打开 /memberships 2. 检查页面顶部导航 3. 检查页面主体左侧区域","页面展示 Top Bar，不展示页面级左侧菜单栏，主体内容未被异常挤压","V4.1.2 新增常规回归；来源 V412-TC-003","待自动化","【官网V4.1.2】会员权益 / V412-REQ-007","否"
"TC-096","Membership / Hero","Hero 文案、预订卡和浮动权益卡","桌面与移动端视口；Membership 页面可访问","1. 检查 Hero 背景、标签和 H1 2. 检查中央预订卡及浮动权益卡 3. 尝试点击和输入中央卡字段 4. 检查是否产生请求或跳转","Hero 核心内容完整；中央卡不可输入、不可搜索且不触发跳转；移动端无重叠溢出","V4.1.2 新增常规回归；来源 V412-TC-004","待自动化","【官网V4.1.2】会员权益 / V412-REQ-009,010,011,012","否"
"TC-097","Membership / App 悬浮按钮","App 悬浮按钮弹窗、关闭和滚动规则","桌面与移动端视口","1. 检查右侧固定按钮 2. 点击并检查 QR、App Store 等内容 3. 点击弹窗外部关闭 4. 再次打开并点击关闭 icon 5. 打开弹窗时滚动页面","按钮固定展示；弹窗内容完整；外部点击和关闭 icon 均可关闭；弹窗不阻止页面滚动","V4.1.2 新增常规回归；来源 V412-TC-005","待自动化","【官网V4.1.2】会员权益 / V412-REQ-013~018","否"
"TC-098","Membership / 权益说明","Jetbay Membership 说明区展示","桌面与移动端视口","1. 滚动至会员权益说明区 2. 检查 overline、H2、描述和左图 3. 检查 3 张权益卡 4. 检查可见品牌词","模块内容完整、图片正常、布局无溢出；可见品牌词遵循 Jetbay 历史继承规则","V4.1.2 新增常规回归；来源 V412-TC-006；继承 INHERIT-BRAND-001","待自动化","【官网V4.1.2】会员权益 / V412-REQ-019,020","否"
"TC-099","Membership / Choose","Choose 默认状态、6 张卡和切换交互","桌面视口；Membership 页面可访问","1. 滚动至 Choose 2. 检查默认展开卡片 3. 逐个 hover/click 01-06 4. 检查文案、箭头、下滑内容、轮播和指示器","默认状态符合当前口径；6 张卡均可切换；展开内容、轮播和指示器可见可用","V4.1.2 新增常规回归；来源 V412-TC-007","待自动化","【官网V4.1.2】会员权益 / V412-REQ-021~024,028,029,031,032","否"
"TC-100","Membership / Choose","Certified operators 悬浮窗","桌面视口；Choose 02 可展开","1. 展开 02 卡片 2. hover Certified operators 3. 检查行业协会 logo 4. 将鼠标移出","hover 后展示行业协会 logo 浮层，移出后浮层消失且不残留遮挡","V4.1.2 新增常规回归；来源 V412-TC-008","待自动化","【官网V4.1.2】会员权益 / V412-REQ-025","否"
"TC-101","Membership / 登录态","Choose 账号 icon 的未登录和已登录行为","准备未登录状态和已登录测试账号","1. 未登录打开 Choose 02 并点击人物 icon 2. 检查登录弹窗 3. 登录后返回相同入口再次点击 4. 检查最终页面","未登录时打开登录弹窗；已登录时跳转 Manage My Account；两种状态不串扰","V4.1.2 新增常规回归；来源 V412-TC-009","待自动化","【官网V4.1.2】会员权益 / V412-REQ-026,027","否"
"TC-102","Membership / Jet Card","Apply for Jet Card 表单提交流程","dev/uat 环境；可投递测试邮箱；准备唯一测试数据","1. 从 Choose 04 进入 Jet Card 2. 点击 Apply for Jet Card 3. 填写有效测试数据并勾选必要协议 4. 提交并检查请求及最终页面","表单校验通过且仅提交一次，接口成功，最终进入 Thank You 页面","V4.1.2 新增常规回归；来源 V412-TC-010；生产环境不执行最终提交","待自动化","【官网V4.1.2】会员权益 / V412-REQ-030","否"
"TC-103","Membership / Travel Privileges","1% 展示与酒店、用车礼遇轮播","桌面与移动端视口","1. 检查 1% Travel Credits、酒店礼遇和豪车接送文案 2. hover 轮播图片 3. 检查是否暂停 4. 点击左右按钮和指示器 5. 在移动端复查","文案与图片完整；hover 可暂停；按钮、页码和指示器切换正确；移动端无不可点击或遮挡","V4.1.2 新增常规回归；来源 V412-TC-011；不覆盖后台积分入账","待自动化","【官网V4.1.2】会员权益 / V412-REQ-033,035~038","否"
"TC-104","Membership / Bank Perks","BCA/HSBC 文案、Logo、链接和权益卡","桌面与移动端视口；允许访问目标外链","1. 检查 BCA/HSBC 标题、描述和 Logo 2. 检查权益卡 3. 点击外链并记录目标 URL 4. 移动端复查布局","文案和权益卡完整；Logo 加载成功；外链目标正确；移动端无重叠溢出","V4.1.2 新增常规回归；来源 V412-TC-013","待自动化","【官网V4.1.2】会员权益 / V412-REQ-039~042","否"
"TC-105","Membership / Service Privileges","4 张服务礼遇卡固定展示","桌面与移动端视口","1. 滚动至 Service Privileges 2. 检查深色背景、标题和描述 3. 统计并检查 4 张服务礼遇卡 4. 移动端复查","固定展示 4 张卡且内容完整；布局、背景和说明符合当前口径；移动端无裁切","V4.1.2 新增常规回归；来源 V412-TC-014","待自动化","【官网V4.1.2】会员权益 / V412-REQ-043,044","否"
"TC-106","Membership / Search","搜索组件和预估价跳转","dev/uat 环境；城市搜索接口可用","1. 选择有效 From 和 To 2. 点击 Search 3. 检查请求参数、最终 URL 和结果页回填","跳转预估价或搜索结果页；出发地、目的地等搜索参数正确传递并回填","V4.1.2 新增常规回归；来源 V412-TC-015","待自动化","【官网V4.1.2】会员权益 / V412-REQ-045,046","否"
"TC-107","Membership / 底部","平台背书数据和 Footer 展示","桌面与移动端视口","1. 滚动至页面底部 2. 检查平台背书数据与可见文案 3. 检查 Footer 结构和链接 4. 与首页 Footer 对照","平台背书无明显拼写或数据展示问题；Footer 与首页结构一致且核心链接可访问","V4.1.2 新增常规回归；来源 V412-TC-016","待自动化","【官网V4.1.2】会员权益 / V412-REQ-047,048","否"
"TC-108","Membership / Mobile","Membership 移动端全页视觉与交互回归","390x844、430x932 视口；移动端页面可访问","1. 分别设置两个视口打开页面 2. 全页滚动检查 Hero、Choose、轮播、Bank Perks、Search 和 Footer 3. 操作关键按钮与轮播 4. 检查横向滚动、遮挡和裁切","关键模块完整可见可操作；无重叠、溢出、异常横向滚动或不可点击控件","V4.1.2 新增常规回归；来源 V412-TC-017","待自动化","【官网V4.1.2】会员权益 / V412-REQ-049","否"
"TC-109","V4.1.3 / 最早出发日期","按出发城市时区获取最早可选日期","dev 时间接口可用；准备北京、温哥华、华盛顿城市数据","1. 查询各城市 ID 2. 调用 earliestDepartureDate 3. 检查 cityId、cityLocalTime、earliestSelectableDate","接口按出发城市返回有效当地时间和最早可选日期，不使用执行机日期代替","V4.1.3 固定回归；继承出发地时区规则","tests/test_v413_requirements_regression.py","【官网V4.1.3】线索提交时区问题&搜索接口含空腿逻辑 / 最早日期","是"
"TC-110","V4.1.3 / 日期校验接口","已过期日期返回 23103","dev 时间接口可用","1. 查询北京城市 ID 2. 使用 2020-01-01 调用 checkDepartureDate 3. 检查业务码和 success","返回 code=23103、success=false，不把服务异常或其他业务码混作日期过期","V4.1.3 固定异常回归","tests/test_v413_requirements_regression.py","【官网V4.1.3】后端轮询检查与过期提示","是"
"TC-111","V4.1.3 / 日期校验接口","最早合法日期通过校验","dev 时间接口可用","1. 获取温哥华最早可选日期 2. 将该日期传给 checkDepartureDate 3. 检查响应","返回 code=1000、success=true、data=true","V4.1.3 固定正向回归","tests/test_v413_requirements_regression.py","【官网V4.1.3】前后端统一最早日期","是"
"TC-112","V4.1.3 / SOS","早于最早可选日期的搜索不返回结果","dev SOS 与时间接口可用","1. 获取华盛顿最早日期 2. 构造前一天的华盛顿到纽约搜索 3. 调用 searchList","接口成功响应但 result 为空，不返回不合规推荐数据","V4.1.3 固定异常回归","tests/test_v413_requirements_regression.py","【官网V4.1.3】搜索接口日期兜底","是"
"TC-113","V4.1.3 / SOS","推荐结果数量、排序、经停和往返回归","dev SOS 接口有推荐数据","1. 按接口返回的最早日期搜索三条代表航线 2. 检查数量 3. 检查距离、价格、飞行时间排序 4. 检查经停值和往返","结果数不超过 30；各排序符合约定；经停值仅为 Direct/Tech-stop；往返可返回推荐","V4.1.3 搜索含空腿逻辑回归；日期不得使用执行机 date.today","tests/test_sos_recommendation_api.py","【官网V4.1.3】搜索接口含空腿逻辑","是"
"TC-114","V4.1.3 / 线索字段","页面线索请求携带客户端提交时间和设备时区","dev Fixed Price 页面可提交；后端支持 23103","1. 打开 Fixed Price 表单 2. 填写测试信息 3. 抓取请求并将 depTime 改为 2020-01-01 4. 检查原请求字段","请求包含 yyyy-MM-dd HH:mm:ss 格式的 clientSubmitTime 和 IANA clientTimezone","继承 INHERIT-LEAD-TIME-001；用过期日期避免创建测试线索","tests/test_v413_requirements_regression.py","用户补充确认 / leads 新增 client_submit_time、client_timezone","是"
"TC-115","V4.1.3 / 过期弹窗","Fixed Price 真实过期响应只显示一层弹窗","dev Fixed Price 页面可提交","1. 提交真实过期日期 2. 等待后端返回 23103 3. 统计弹窗 4. 点击 Select new date","只显示一层弹窗；无重复错误 toast；点击一次后弹窗完全关闭","继承 INHERIT-DEPARTURE-MODAL-001；BUG-V413-008 回归","tests/test_v413_requirements_regression.py","【官网V4.1.3】线索提交最后兜底","是"
"TC-116","V4.1.3 / 过期弹窗","五类直接线索入口过期兜底","dev；Empty Leg、Fixed Price、Golf、Ski、Island 页面可访问","1. 分别填写五类表单 2. 将 depTime 改为 2020-01-01 后真实提交 3. 检查 23103、弹窗层数、toast 和关闭","五类入口均只显示一层弹窗，无重复 toast，点击一次关闭，不产生非法线索","V4.1.3 发布前专项；当前自动化固定覆盖 Fixed Price，其余入口按版本抽检","部分自动化","【官网V4.1.3】线索提交最后兜底","部分"
"TC-117","V4.1.3 / 过期弹窗文案","英文过期弹窗文案与最新版需求一致","dev；可触发 23103","1. 触发英文日期过期弹窗 2. 视觉检查标题、正文和 CTA","标题为 Departure date expired；正文使用 has passed；CTA 为 Select new date","BUG-V413-009 当前 xfail，修复后自动转为 XPASS 提醒更新状态","tests/test_v413_requirements_regression.py","最新版需求弹窗文案","是"
"TC-118","V4.1.3 / 多语言弹窗","简体和繁体日期过期弹窗文案","dev zh-cn、zh-hk 页面可访问","1. 分别触发简体和繁体 23103 2. 检查标题、正文和日期选择 CTA 3. 检查只显示一层","简繁体翻译符合产品词库且无乱码；各只显示一层弹窗","V4.1.3 多语言人工视觉回归","人工检查","最新版需求弹窗本地化","否"
"TC-119","V4.1.3 / 结果页轮询","Search 与 SOS 结果页 10 分钟轮询及失败重试","dev；可控制时钟和接口响应","1. 进入 Search/SOS 结果页 2. 推进 10 分钟 3. 注入网络失败 4. 每次推进 30 秒 5. 统计请求","10 分钟触发校验；失败后 30 秒重试；连续最多 3 次后停止并保留页面","V4.1.3 发布前专项；继承 INHERIT-POLLING-001","人工/专项脚本","最新版需求轮询规则","否"
"TC-120","V4.1.3 / 后台轮询","后台标签页及返回前台策略","dev；浏览器支持切换标签页","1. 在结果页启动轮询 2. 切到后台 3. 返回前台 4. 观察校验请求","后台暂停或延迟由浏览器控制；返回前台不立即补校验；23103 时停止并显示弹窗","继承 INHERIT-POLLING-002；最新版备注覆盖旧口径","人工检查","最新版需求备注 2、3","否"
